order_id,customer_id,customer_type,order_date,order_month,order_year,order_status,order_amount,payment_id,payment_method,payment_status,payment_date,payment_outcome_label
f07e099a-2086-4e08-9460-84133dcd8a16,7427,"Repeat Customer",2025-04-27,April,2025,shipped,221.8,NULL,NULL,NULL,NULL," Pending"
027bfb87-fcd8-4ce4-ad79-d9cdc5e78f06,4926,"One-Time Customer",2025-04-27,April,2025,pending,133.96,29da09b1-c7d9-4068-bd67-c98f0e54db3e,"bank transfer",failed,2021-12-12," Failed"
027bfb87-fcd8-4ce4-ad79-d9cdc5e78f06,4926,"One-Time Customer",2025-04-27,April,2025,pending,133.96,01bf4356-b664-43d2-ad49-b75cac69116f,"credit card",completed,2020-09-08," Pending"
3523980b-c91c-4791-aa24-e19e247276af,6127,"Repeat Customer",2025-04-27,April,2025,delivered,74.18,4ef03664-1611-4d60-9775-f472efdd1585,paypal,pending,2022-06-02," Pending"
3523980b-c91c-4791-aa24-e19e247276af,6127,"Repeat Customer",2025-04-27,April,2025,delivered,74.18,726e515e-4280-4d75-9f59-931ca11126dc,paypal,pending,2025-03-13," Pending"
011e07d4-7261-4523-89bb-c966a27d55c4,4862,"One-Time Customer",2025-04-27,April,2025,delivered,167.7,8cf20004-dfe4-4072-8020-4689551ef579,"bank transfer",failed,2020-09-25," Failed"
92ed643e-fade-4431-8c94-cde83f29185c,1501,"Repeat Customer",2025-04-27,April,2025,pending,346.03,b329f3fe-1bd1-4b8c-a7c0-5b0a664c875f,"credit card",pending,2021-09-11," Pending"
13cf8ec9-02e6-41a9-b62e-bee1442b8261,4441,"One-Time Customer",2025-04-27,April,2025,delivered,437.28,aa56e1db-1e4d-4e30-9383-87693a559c4d,"bank transfer",completed,2020-01-09," Pending"
75c801d3-f281-49b5-9f70-e77c284b7934,3987,"One-Time Customer",2025-04-27,April,2025,shipped,435.05,7090fa74-5332-4809-b03b-3982bcec5c23,"bank transfer",completed,2025-03-05," Pending"
9cf06af7-91b2-4992-b108-f9ff3c2eb4b6,6293,"Repeat Customer",2025-04-27,April,2025,shipped,260.95,NULL,NULL,NULL,NULL," Pending"
d4944f86-ab26-414d-884a-4cffb63c2e9d,8033,"Repeat Customer",2025-04-27,April,2025,delivered,290.97,b5672242-d338-4582-b96c-b5d8d9d6753a,paypal,pending,2022-09-02," Pending"
359538b7-88d5-4158-b090-1dfbbc9b5ad0,2031,"Repeat Customer",2025-04-26,April,2025,delivered,384.59,NULL,NULL,NULL,NULL," Pending"
f5afbdbf-6d14-47e7-ae8c-96cffdfba1b2,8501,"Repeat Customer",2025-04-26,April,2025,pending,62.42,e75a9f71-8f2a-475d-8206-0ad15d848ee1,"credit card",completed,2022-01-17," Pending"
f5afbdbf-6d14-47e7-ae8c-96cffdfba1b2,8501,"Repeat Customer",2025-04-26,April,2025,pending,62.42,aaaf8d1f-bd94-40d0-b085-cfceb40972ca,paypal,failed,2023-01-31," Failed"
c8368aab-c85c-4fac-be93-b018e81eab9a,7099,"Repeat Customer",2025-04-26,April,2025,shipped,75.36,1acd9f2f-d1e0-4d9e-9f1d-c6c2059e5d38,"credit card",completed,2020-03-07," Pending"
8e12ba6d-f318-481f-b1d3-a298d0efcb16,1418,"Repeat Customer",2025-04-26,April,2025,pending,301.54,2471f067-1890-4980-960d-03db234316d4,"bank transfer",failed,2020-10-20," Failed"
2d6f225c-0b61-47a2-a962-ab9c05407c0d,1879,"Repeat Customer",2025-04-26,April,2025,shipped,170.49,NULL,NULL,NULL,NULL," Pending"
d723c4b4-3977-491f-b033-e65dd893a9ca,7609,"Repeat Customer",2025-04-26,April,2025,shipped,55.05,NULL,NULL,NULL,NULL," Pending"
78aa77c2-c1de-4303-8a3a-79da4dcd9df3,5855,"One-Time Customer",2025-04-26,April,2025,delivered,357.04,7a77f66b-b5f0-4a2a-b6e0-b9374c4f3df4,paypal,completed,2020-09-19," Pending"
78aa77c2-c1de-4303-8a3a-79da4dcd9df3,5855,"One-Time Customer",2025-04-26,April,2025,delivered,357.04,772ca365-8a70-4d8f-858f-b45a3ccee2d5,"bank transfer",completed,2024-06-11," Pending"
d5efe1f1-c1e7-402f-a200-7632773fb9a2,7058,"Repeat Customer",2025-04-25,April,2025,pending,388.13,10ac36bd-ebab-41a7-afc2-d6082c0a3f89,"credit card",completed,2023-01-26," Pending"
d5efe1f1-c1e7-402f-a200-7632773fb9a2,7058,"Repeat Customer",2025-04-25,April,2025,pending,388.13,7727aeb9-8bcd-4233-871e-4e4f2a855fa5,"credit card",failed,2024-11-08," Failed"
e11d248b-69fe-4c3c-b502-91fbb33a9b7c,8130,"Repeat Customer",2025-04-25,April,2025,delivered,407.28,9d6b4891-c43b-4e14-a4d7-0c3160e9e86d,paypal,failed,2021-08-10," Failed"
f67df012-116a-4897-9589-d1e6d86991b6,9619,"Repeat Customer",2025-04-25,April,2025,shipped,65.69,97a188b8-e81f-4a2e-a2d5-3bb0248ba883,"bank transfer",pending,2025-03-01," Pending"
a9593922-a735-4724-a045-961249976263,5901,"One-Time Customer",2025-04-25,April,2025,pending,473.69,NULL,NULL,NULL,NULL," Pending"
11d6686f-1086-401a-b645-42a7bebc813e,5832,"Repeat Customer",2025-04-25,April,2025,pending,137.08,NULL,NULL,NULL,NULL," Pending"
231ee8bd-5ac4-4968-843d-089596c235a3,2971,"Repeat Customer",2025-04-25,April,2025,shipped,375.04,NULL,NULL,NULL,NULL," Pending"
c63b22e8-a8c7-4efa-be57-263eefca1cb3,5281,"One-Time Customer",2025-04-25,April,2025,pending,428.94,60599072-0295-407d-8545-30bb19e87354,"bank transfer",completed,2025-04-27," Pending"
54311fea-4c58-46e6-9aee-8f78aac70fc5,3058,"One-Time Customer",2025-04-25,April,2025,pending,427.89,d2f6f11b-ed53-4a1b-ac3b-0c03b969e4d8,"bank transfer",pending,2022-02-14," Pending"
